form,meaning,type,etymology
褂,"coat, jacket; gown, robe",pictophonetic,clothes
褊,"4cramped, narrow; crowded; urgent",pictophonetic,cloth
褐,"coarse wool; dull, brown",pictophonetic,cloth
褒,"to cite; to honor, to praise; to recommend",pictophonetic,clothes
褙,paper or cloth pasted together,pictophonetic,cloth
褚,"bag, valise; to pad, to stuff; surname",pictophonetic,cloth
褟,"singlet, inner shirt; to sew",pictophonetic,clothes
褡,"girdle, loincloth; bag, pouch",pictophonetic,clothes
褥,"mattress, cushion; bedding",pictophonetic,cloth
褪,"to strip, to undress; to fade, to fall off",ideographic,Th take off 退 clothing 衤; 退 also provides the pronunciation
褫,"to strip, to tear off, to undress",pictophonetic,clothes
褰,4undergarment; to pick up one's skirt,pictophonetic,clothes
褱,"to wrap, to conceal; to carry in one's bosom or up one's sleeve",pictophonetic,cloth
裢,a folding purse kept in one's belt,pictophonetic,cloth
褵,bridal veil,pictophonetic,clothes
褶,"wrinkle, pleat, crease",pictophonetic,cloth
褛,"lapel, collar; tattered, threadbare",pictophonetic,cloth
亵,"dirty, ragged; slight, insult, disrespect",ideographic,Hands grasping 执 and tearing apart a dress 衣
襄,"to aid, to help, to assist; to undress",ideographic,Using two hands 口 to help someone remove their clothes 衣
裥,"pleats, folds",pictophonetic,cloth
杂,"mix, blend; various, miscellaneous",,
袯,raincoat,pictophonetic,clothes
袄,"coat, jacket, outerware",pictophonetic,clothes
裣,draw one's hands into sleeve,pictophonetic,cloth
襞,"pleat, fold, crease",pictophonetic,cloth
襟,"lapel, collar",ideographic,Cloth 衤 that restricts 禁; 禁 also provides the pronunciation
裆,the crotch or seat of a pair of pants,pictophonetic,clothes
襢,"to strip, to lay bare; naked, bare",ideographic,The truth 亶 hidden under one's robes 衤; 亶 also provides the pronunciation
褴,"ragged, tattered, threadbare",pictophonetic,cloth
襦,"coat, jacket; fine silk fabric",pictophonetic,clothes
袜,"socks, stockings",pictophonetic,clothes
襫,raincoat,pictophonetic,clothes
衬,"underwear, lining; in contrast",pictophonetic,clothes
袭,"to attack, to raid; to inherit",pictophonetic,dragon
襻,"loop, belt, band",ideographic,A belt that holds up 攀 clothes 衤; 攀 also provides the pronunciation
襾,cover,,
西,"west, western, westward",pictographic,"A bird settling into its nest, representing sunset; compare 東"
要,"essential, necessary; to ask for; to coerce; to demand",ideographic,A woman 女 with hands on her waist 覀
覃,"to reach, to spread to; deep, extensive",ideographic,From the east 早 to the west 覀 
覆,to cover; to overturn; to repeat; to reply,pictophonetic,cover
霸,"tyrant; to usurp, to rule by might",pictophonetic,rain
见,"to see, to observe, to meet, to appear",ideographic,Simplified form of 見; a man 儿 with the eye 目 emphasized
觅,to seek; to search,ideographic,To search for something with eyes 见 and hands 爫
觇,"to peek, to watch; to investigate, to spy on",ideographic,To watch 见 and observe 占; 占 also provides the pronunciation
觋,wizard,ideographic,One who learns 见 magic 巫
觎,"to covet, to desire, to long for",pictophonetic,eye
亲,"relatives, parents; intimate; the hazelnut tree",ideographic,A tree 木 bearing fruit 立
觊,"to covet, to desire, to long for",pictophonetic,eye
觏,to meet unexpectedly,pictophonetic,meet
觐,an audience with the emperor,pictophonetic,meet
觑,"to peep, to watch, to spy on",pictophonetic,see
觉,"conscious; to nap, to sleep; to wake up",pictophonetic,see
览,"to look over, to inspect, to view, to perceive",pictophonetic,see
觌,"audience, interview; face-to-face meeting",pictophonetic,meet
观,"to observe, to spectate; appearance, view",ideographic,To see 见 again 又
角,"angle, corner; horn, horn-shaped",pictographic,A rhinoceros or other animal horn
觖,to long for; to criticize; dissatisfied,pictophonetic,horn
觚,"jug, goblet; rule, law",pictophonetic,horn
觜,beak,pictophonetic,horn
解,"to explain; to loosen; to unfasten, to untie",ideographic,To cut 刀 the horns 角 off of an ox 牛; 角 also provides the pronunciation
觥,a horn of wine,pictophonetic,horn
觫,"to start, to tremble with fear",pictophonetic,horn
觱,Tartar horn; chill wind,pictophonetic,horn
觳,"goblet, horn; frightened",pictophonetic,horn
觞,wine cup; to propose a toast; feast,pictophonetic,horn
觯,a horn of wine,pictophonetic,horn
触,"to butt, to gore, to ram; to touch",pictophonetic,horn
言,"words, speech; to speak, to say",ideographic,A tongue sticking out of a mouth 口
讠,"words, speech; to speak, to say",,
订,to make an order; to draw up an agreement,pictophonetic,speech
讣,"obituary, death notice",pictophonetic,speech
訇,a crashing sound,pictophonetic,speech
计,"to calculate, to count; to plan, to reckon; plot, scheme",pictophonetic,speech
讯,"news, information; to question, to interrogate",pictophonetic,speech
讧,confusion; internal strife,ideographic,Dissent 讠 among workers 工; 工 also provides the pronunciation
讨,"to haggle, to discuss; to demand, to ask for",ideographic,To ask 讠 for something 寸
讦,"to accuse, to pry; to expose secrets",ideographic,Invasive 干 words 讠
训,"to teach, to instruct; pattern, example; exegesis",pictophonetic,speech
讪,"to abuse, to slander, to vilify; to ridicule",pictophonetic,speech
讫,"to finish, to conclude; to exhaust",pictophonetic,speech
记,"mark, sign; to note, to record",ideographic,A private 己 note 讠; 己 also provides the pronunciation
讹,"to swindle, to cheat; wrong, error; falsehood",pictophonetic,speech
讶,"amazed, surprised; to express surprise",pictophonetic,speech
讼,"to accuse, to argue; to dispute, to litigate",pictophonetic,speech
诀,"to take leave of, to bid farewell; knack, trick",ideographic,Words 讠 said at a parting 夬; 夬 also provides the pronunciation
讷,"inarticulate, slow; to mumble, to stammer",pictophonetic,speech
访,"to visit; to inquire, to ask",pictophonetic,speech
设,"to build, to design; to establish; to offer",pictophonetic,speech
许,"to consent, to permit; to promise, to betroth",pictophonetic,speech
诃,"to scold loudly, to curse, to abuse",pictophonetic,speech
诊,to diagnose; to examine a patient,pictophonetic,speech
证,"to prove, to verify; certificate, proof",ideographic,To speak 讠 the truth 正; 正 also provides the pronunciation
訾,"to criticize, to bad-mouth; defect; betrayal",pictophonetic,speech
诂,"explanation; to comment, to explain",pictophonetic,speech
诋,"to slander; to condem, to reproach",pictophonetic,speech
詈,"to curse, to scold; to accuse",ideographic,To implicate 罒 someone by one's words 言
讵,an interjection of surprise,pictophonetic,speech
诈,"to cheat, to defraud; sly, treacherous",pictophonetic,speech
诒,"to bequeath, to pass on",pictophonetic,speech
诏,"to proclaim, to decree; imperial decree",ideographic,To issue 讠 a decree 召; 召 also provides the pronunciation
评,"to appraise, to criticize, to evaluate",pictophonetic,speech
诎,"to stutter, to exhaust; to crouch, to bend",pictophonetic,speech
诅,"to curse; to pledge, to swear",pictophonetic,speech
咏,"to sing, to hum, to chant",pictophonetic,mouth
诩,"to brag, to boast; popular, well-known",pictophonetic,speech
询,"to ask about, to inquire into; to consult",pictophonetic,speech
诣,"to reach; achievement, accomplishment",ideographic,To meet 讠 a goal 旨; 旨 also provides the pronunciation
试,"to try, to experiment; exam, test",pictophonetic,speech
诗,"poetry; poem, verse, ode",pictophonetic,speech
诧,"surprised, shocked",pictophonetic,speech
诟,"to abuse, to scold; to berate, to insult",pictophonetic,speech
诡,"to cheat, to defraud; sly, treacherous",pictophonetic,speech
诠,"to expound, to explain, to comment on",pictophonetic,speech
诘,"to question, to interrogate",pictophonetic,speech
话,"talk, speech; language, dialect",ideographic,A spoken 讠 tongue 舌; 舌 also provides the pronunciation
该,"should, ought to, must",pictophonetic,speech
详,"complete, detailed, thorough",pictophonetic,speech
诜,to question; to inform,pictophonetic,speech
酬,"to toast, to entertain; to reward, to compensate",pictophonetic,wine
詹,"talkative, verbose; surname",pictophonetic,speech
诙,"to tease, to joke with; to ridicule, to mock",pictophonetic,speech
诖,"error, mistake; to deceive, to mislead",pictophonetic,speech
诔,"to praise, to eulogize",pictophonetic,speech
诛,"to execute, to kill; to punish",pictophonetic,speech
诓,"to swindle, to cheat; to lie",pictophonetic,speech
认,"to know, to recognize, to understand",pictophonetic,speech
诳,"to lie, to deceive; to delude, to cheat",ideographic,Mad 狂 speech 讠; 狂 also provides the pronunciation
诶,"oh, hey; surprise (tone 2), disagreement (tone 3), agreement (tone 4)",ideographic,To verbally 讠 confirm 矣 ; 矣 also provides the pronunciation
誓,"to swear, to pledge; oath",ideographic,Words 言 that must not be broken 折; 折 also provides the pronunciation
诞,"to give birth, to bear children; birth, birthday",pictophonetic,speech
诱,"to tempt, to persuade, to entice; guide",ideographic,To use elegant 秀 words 讠; 秀 also provides the pronunciation
誙,"definitely, sure!",pictophonetic,speech
诮,"to scold, to blame; to ridicule, to criticize",pictophonetic,speech
语,"words, language; saying, expression",pictophonetic,words
诚,"honest, sincere, true; actually, really",pictophonetic,speech
诫,"to warn, to admonish; warning",ideographic,Words 讠 of warning 戒; 戒 also provides the pronunciation
诬,"to slander, to defame; a false accusation",ideographic,To start 讠 a witch-hunt 巫; 巫 also provides the pronunciation
误,"error, fault, mistake; to delay",pictophonetic,speech
诰,"to grant; to notify, to inform; to order",ideographic,To verbally 讠 inform 告; 告 also provides the pronunciation
诵,"to chant, to recite, to repeat, to read aloud",pictophonetic,speech
诲,"to teach, to instruct; to encourage, to urge",pictophonetic,speech
说,"to speak, to say; to scold, to upbraid",pictophonetic,speech
谁,who? whom? whose? anyone?,pictophonetic,speech
课,"subject, lesson, course; classwork",pictophonetic,speech
谇,"to slander, to defame; to berate",pictophonetic,speech
诽,"to condemn, to slander, to vilify",pictophonetic,speech
谊,"friendship; appropriate, suitable",ideographic,Fitting 宜 speech 讠; 宜 also provides the pronunciation
訚,respectful; to speak gently,pictophonetic,speech
调,"tune, melody, key; to transfer, to exchange",pictophonetic,speech
谄,"to flatter, to cajole; toady, yes-man",pictophonetic,speech
谆,"earnest, patient, sincere",ideographic,One who freely shares 享 advice 讠; 享 also provides the pronunciation
谈,"to talk, to chat; conversation; surname",pictophonetic,speech
诿,"to shirk, to pass the buck, to make excuses",pictophonetic,speech
请,"to ask, to request; to invite; please",pictophonetic,speech
诤,"to admonish, to warn; to criticize",ideographic,Fighting 争 words 讠; 争 also provides the pronunciation
诹,"to consult, to confer with; to select, to choose",ideographic,To receive 取 advice 讠; 取 also provides the pronunciation
诼,"gossip, rumors; to slander",pictophonetic,speech
谅,"to excuse, to forgive; to guess, to presume",pictophonetic,speech
论,debate; discussion,ideographic,Speech 讠 that explains the logic 仑; 仑 also provides the pronunciation
谂,"to counsel, to consult for",ideographic,To give thoughtful 念 advice 讠
谀,"to flatter, to cajole",pictophonetic,speech
谍,to spy; an intelligence report,pictophonetic,speech
谝,"to brag, to boast; to quibble",pictophonetic,speech
谥,posthumous name or title,pictophonetic,speech
诨,"joke, jest; nickname; obscene joke",pictophonetic,speech
谔,"candid, frank; honest speech",pictophonetic,speech
谛,"careful, attentive; to examine; the truth",pictophonetic,speech
谐,"to joke, to jest; to harmonize, to agree",pictophonetic,speech
谏,"to admonish, to remonstrate",pictophonetic,speech
谕,to proclaim; to instruct; edict,pictophonetic,speech
谘,"to consult, to confer with; recommendation, advice",ideographic,To discuss 讠 a plan 咨; 咨 also provides the pronunciation
讳,"taboo; to shun, to conceal, to avoid mentioning",pictophonetic,speech
谙,"well-versed in, fully acquainted with",pictophonetic,speech
谌,"faithful, sincere; surname",pictophonetic,speech
讽,"sarcastic; to chant, to mock, to ridicule",pictophonetic,speech
诸,"all, many, various; surname",pictophonetic,speech
谚,"proverb, maxim",ideographic,Elegant 彦 words 讠; 彦 also provides the pronunciation
谖,"to forget; to cheat, to lie",pictophonetic,speech
诺,"to promise; to approve, to assent to",pictophonetic,speech
谋,"to plan, to scheme; strategem",pictophonetic,speech
谒,"to visit, to pay respects",pictophonetic,speech
谓,"to call, to say, to tell; name, title; meaning",pictophonetic,speech
誊,"to copy, to transcribe",pictophonetic,speech
诌,"to quip, to play with words, to talk nonsense",pictophonetic,words
謇,to stutter; to speak boldly,pictophonetic,speech
谎,to lie,pictophonetic,speech
谜,"riddle, puzzle, conundrum",ideographic,Bewitching 迷 words 讠; 迷 also provides the pronunciation
谧,"calm, quiet, still; cautious",pictophonetic,speech
谑,to jeer,ideographic,To use cruel 虐 words 讠; 虐 also provides the pronunciation
谡,"to raise; to start, to prepare",pictophonetic,speech
谤,"to slander, to defame",pictophonetic,speech
谦,"humble, modest",pictophonetic,speech
讲,"talk, speech, lecture; to speak, to explain",pictophonetic,speech
谢,to thank; to refuse politely,pictophonetic,speech
谣,"rumor; folksong, ballad",pictophonetic,speech
謦,to speak softly,pictophonetic,speech
谟,"to scheme, to plan; to practice",pictophonetic,speech
谪,"to censure, to blame; to exile, to banish",pictophonetic,speech
谬,"absurd; error, exaggeration",pictophonetic,speech
谫,shallow; stupid,pictophonetic,speech
讴,songs; to sing,pictophonetic,speech
谨,"prudent, cautious, attentive",pictophonetic,speech
谩,"to slight, to insult; to deceive",pictophonetic,speech
谲,"cunning, crafty, sly",ideographic,A bright 矞 wit 讠; 矞 also provides the pronunciation
讥,"to ridicule, to mock, to jeer",pictophonetic,speech
谮,to slander,pictophonetic,speech
识,"knowledge; to understand, to recognize, to know",pictophonetic,speech
谯,"tower; to ridicule, to blame; surname",pictophonetic,speech
谭,surname,pictophonetic,speech
谱,"chart, list, table; spectrum; musical score",pictophonetic,speech
警,"to guard, to watch; alarm, alert",pictophonetic,speech
谵,"talkative; incoherent, babbling",ideographic,Verbose 詹 speech 讠; 詹 also provides the pronunciation
譬,"example; metaphor, simile",pictophonetic,speech
译,"to translate, to interpret; to encode, to decode",pictophonetic,speech
议,"to consult, to talk over; to criticize, to discuss",pictophonetic,speech
谴,"to scold, to reprimand, to abuse",pictophonetic,speech
护,"to defend, to guard, to protect; shelter; endorse",ideographic,Guarding 扌 a home 户; 户 also provides the pronunciation
誉,"fame, reputation; to praise",ideographic,Word 言 of one's success 兴
读,"to study, to learn; to read, to pronounce",ideographic,To show off 卖 one's literacy 讠
赞,"to help, to support; to laud, to praise",pictophonetic,money
变,"to change, to transform, to alter; rebel",,
雠,"enemy, rival, opponent",ideographic,Two birds 隹 exchanging angry words 讠; 雔 provides the pronunciation
谗,"to slander, to defame; to misrepresent",pictophonetic,speech
让,"to allow, to permit, to yield",pictophonetic,speech
谰,"to slander, to defame; a false accusation",pictophonetic,speech
谶,"prophecy; hint, omen",pictophonetic,speech
谠,"counsel, advice; to speak out",pictophonetic,speech
谳,"to decide, to judge; decision, verdict",pictophonetic,speech
讬,"to commission, to entrust, to rely on",ideographic,To depend on 乇 someone's word 讠; 乇 also provides the pronunciation
豁,"clear, open; exempt",pictophonetic,valley
豇,kidney bean; black-eyed pea,pictophonetic,beans
岂,what; how,pictophonetic,
豉,fermented beans,pictophonetic,beans
豊,"abundant, lush, bountiful, plenty",ideographic,A stalk bent crooked 曲 by the weight of its beans 豆
豌,peas,pictophonetic,peas
豕,"pig, boar",pictographic,A pig drawn on its side
豖,a shackled pig,pictographic,A pig 豕 in shackles 丶
豚,suckling pig; to suckle,pictographic,A pig 豕 suckling at its mother's teat ⺼
象,"elephant; ivory; figure, image",pictophonetic,boar
豢,"domestic animal; to feed, to raise",pictophonetic,pig
豦,wild boar; to fight,ideographic,A boar 豕 fighting a tiger 虍
豪,"brave, heroic, chivalrous",pictophonetic,boar
豫,relaxed; hesitant,pictophonetic,elephant
猪,"pig, hog, wild boar",pictophonetic,animal
豱,short-snouted pig,pictophonetic,pig
豳,a Zhou-dynasty state,pictophonetic,mountain
豸,badger; legendary beast,,
豹,"leopard, panther; surname",pictophonetic,beast
豺,"wolf; cruel, mean, wicked",pictophonetic,beast
豻,"prison, jail; a wild dog",pictophonetic,beast
貂,"sable, mink, marten",pictophonetic,beast
貅,"fierce; brave, courageous",pictophonetic,badger
貉,raccoon dog,pictophonetic,beast
貊,leopard; an ancient tribe in northeast China,ideographic,A tribe of a hundred 百 wild beasts 豸
貌,"countenance, appearance",ideographic,A beast's 豸 appearance 皃; 皃 also provides the pronunciation
猫,cat,pictophonetic,animal
貔,"fox, leopard, panther",pictophonetic,beast
貘,"panther, tapir",pictophonetic,beast
贝,"sea shell; money, currency",pictographic,"A sea shell, once used as currency"
贞,"virtuous, chaste, pure; loyal",,
负,"load, burden; to carry, to bear",ideographic,A person 人 carrying a lot of money 贝
财,"riches, wealth, valuables",pictophonetic,money
贡,"to offer, to contribute; tribute, gifts",pictophonetic,money
贫,"poor, needy, impoverished; lacking",ideographic,Money 贝 that must be split 分; 分 also provides the pronunciation
货,"products, merchandise; goods, commodities",pictophonetic,money
贩,"merchant, peddler; to deal in, to trade",pictophonetic,money
贪,"greedy, covetous; corrupt",pictophonetic,money
贯,"to pierce, to string up; a string of 1000 coins",pictophonetic,money
责,"one's responsibility, duty",ideographic,Money 贝 that must be repaid
贮,"to store, to stockpile, to hoard",ideographic,Money 贝 kept under one 一 roof 宀
贳,to borrow; to pardon; loan,pictophonetic,money
赀,"wealth, property; to estimate, to count",pictophonetic,money
贰,two (bankers' anti-fraud numeral),ideographic,A banker's 贝 two 二 with accents to prevent forgery
贵,"expensive, costly; valuable, precious",pictophonetic,money
贬,"to devalue, to demote; to criticize, to censure",ideographic,To devalue 乏 currency 贝
买,"to buy, to purchase; to bribe, to persuade",,
贷,to borrow; to lend; to pardon,pictophonetic,money
贶,"to bestow, to grant; surname",pictophonetic,money
费,"expenses, fees; to cost, to spend; wasteful",pictophonetic,money
贴,"to stick, to paste; attached; allowance, subsidy",pictophonetic,money
贻,"to hand down, to give to, to bequeath",pictophonetic,money
贸,"commerce, trade",pictophonetic,money
贺,to congratulate; to send a present,ideographic,To add 加 to someone else's fortune 贝
贲,to forge ahead; energetic; surname,,
赂,bribery; to bribe; to present,,
赁,"to rent, to lease; to hire; employee",ideographic,Someone 任 working for money 贝
贿,"to bribe; riches, wealth",ideographic,To possess 有 wealth 贝
赅,to include; to prepare for,pictophonetic,money
资,"wealth, property, capital",pictophonetic,money
贾,"merchant; to buy, to trade; surname",pictophonetic,money
贼,"thief, traitor; cunning, sly",pictophonetic,weapons
賏,necklace; pearls or shells strung together,ideographic,Two shells 貝 strung together
赈,"to relieve, to aid; rich",pictophonetic,money
赊,to buy and sell on credit,pictophonetic,money
宾,"guest, visitor; surname; submit",ideographic,A solider 兵 quartered under one's roof 宀
赇,to bribe,ideographic,To beseech 求 with money 贝; 求 also provides the pronunciation
赒,to give to charity; to give alms,pictophonetic,money
赉,"to bestow, to confer; surname",pictophonetic,money
赐,to give; to bestow a favor; to appoint,pictophonetic,money
赏,"reward; to appreciate; to bestow, to grant",pictophonetic,money
赔,"to compensate, to pay damages, to suffer a loss",pictophonetic,money
赓,to continue a song,pictophonetic,shell
贤,"virtuous, worthy; good, able",pictophonetic,money
卖,to sell; to betray; to show off,pictophonetic,buy
贱,"cheap, low, mean, worthless",ideographic,Costing little 戋 money 贝; 戋 also provides the pronunciation
赋,"tax; to give, to bestow",ideographic,Money 贝 used to raise an army 武; 武 also provides the pronunciation
赕,"fine, penalty",pictophonetic,money
质,"essence, nature; material, substance",pictophonetic,shell
赍,"gift, present; offering",ideographic,Money 贝 from 从 someone
账,"accounts, bills; credit, debt",pictophonetic,money
赌,"to bet, to gamble, to wager",pictophonetic,money
赖,"to depend on, to rely on; to bilk, to deny; poor",pictophonetic,money
赚,"to earn, to profit, to make money",pictophonetic,money
赙,to contribute to funeral expenses,pictophonetic,money
购,"to buy, to purchase",pictophonetic,money
赛,"to compete, to contend; contest, race",pictophonetic,money
赜,"abstruse, deep, profound",pictophonetic,minister
贽,tribute; a gift given to a superior,pictophonetic,money
赘,"unnecessary, superfluous",pictophonetic,leisure
赠,"to bestow, to confer, to present a gift",pictophonetic,money
赝,"false, bogus; counterfeit; a sham",ideographic,"""Wild goose"" 雁 money 贝; 雁 also provides the pronunciation"
赡,"rich, elegant; to support, to provide for",pictophonetic,money
赢,"to win, to gain; surplus, profit",pictophonetic,money
赆,farewell present,pictophonetic,money
赃,"booty, loot; stolen goods; to bribe",pictophonetic,money
赑,strong,,
赎,ransom; to buy; to redeem,ideographic,To sell 卖 a soul for money 贝; 卖 also provides the pronunciation
赤,"red, scarlet; blushing; bare, naked",ideographic,A person 土 whose cheeks are burning 火
赦,"to forgive, to pardon, to remit",pictophonetic,let go
赧,"to blush, to turn red",pictophonetic,red
赫,"bright, radiant, glowing",ideographic,Blushing 赤 bright red 赤
赭,"hematite; ochre, reddish-brown",pictophonetic,red
走,"to walk, to run, to flee",ideographic,Someone 土 stepping with their foot 止
赳,"gallant, valiant",pictophonetic,walk
赴,"to attend, to go to, to be present",pictophonetic,walk
起,"to begin, to initiate; to rise, to stand up",pictophonetic,walk
赸,to jump; to leave,pictophonetic,flee
趁,"to take advantage of, to seize an opportunity",pictophonetic,walk
趄,"weak, lame",pictophonetic,walk
超,"to jump over, to leap over; to overtake, to surpass",pictophonetic,run
越,"to exceed, to surpass, to transcend",pictophonetic,run
趑,to falter; to be unable to move,ideographic,Unable to put one foot 走 after the other 次; 次 also provides the pronunciation
趔,"to stumble; to halt, to check",pictophonetic,walk
赶,"to pursue, to overtake; to hurry; to expel",pictophonetic,run
赵,ancient state; surname,,
趣,interest; interesting; what attracts one's attention,pictophonetic,walk
趦,to falter; to be unable to move,pictophonetic,walk
趋,"to hurry, to hasten; to approach, to be attracted to",pictophonetic,run
趯,to jump,pictophonetic,flee
趱,"to urge, to hasten; to go in a hurry",pictophonetic,run
足,"foot; to attain, to satisfy; enough",pictographic,The leg 口 above the foot
趴,"prone, lying down, leaning over",pictophonetic,foot
趵,the noise of tramping feet,pictophonetic,foot
趺,"to sit cross-legged; tarsus, instep",pictophonetic,foot
趼,"blister, callus",pictophonetic,foot
趾,"toe; tracks, footprints",pictophonetic,foot
趿,to tread on; slipshod,pictophonetic,foot
跂,"to creep, to crawl",pictophonetic,foot
跆,"to trample, to kick",pictophonetic,foot
跋,"to walk, to travel; epilogue, colophon",pictophonetic,foot
跌,"to stumble, to slip, to fall",ideographic,To lose 失 one's footing 足
跎,"to stumble, to falter, to vacillate",pictophonetic,foot
跏,"to squat, to sit cross-legged",pictophonetic,foot
跑,"to run, to flee, to escape",pictophonetic,foot
跖,the sole of the foot,pictophonetic,foot
跗,"arch, instep",pictophonetic,foot
跚,"to stagger, to limp",pictophonetic,foot
跛,lame,pictophonetic,foot
距,"distance, gap",pictophonetic,foot
跟,"heel; to accompany, to follow; with",pictophonetic,foot
迹,"trace, sign, mark, footprint",pictophonetic,walk
跣,barefoot,pictophonetic,foot
跤,"to tumble, to fall; to wrestle",pictophonetic,foot
跺,to stamp the feet,pictophonetic,foot
跨,"to straddle, to ride; to span, to stretch across",pictophonetic,foot
跪,to kneel,pictophonetic,foot
跫,the sound of footsteps,pictophonetic,foot
跬,"short step, half-pace",pictophonetic,foot
路,"road, path, street; journey",pictophonetic,foot
跳,"to hop, to skip; to jump, to leap; to vault; to dance",pictophonetic,foot
踩,to step on; to stamp,pictophonetic,foot
跽,to kneel; to get on hands and knees,pictophonetic,foot
踅,to pace; to turn around midway,pictophonetic,foot
踉,"to hop, to jump; hurried, urgent",pictophonetic,foot
踊,to leap,pictophonetic,foot
踏,"to trample, to tread on, to walk over",pictophonetic,foot
践,"to trample, to tread on, to walk over",pictophonetic,foot
踔,"to stride, to excel, to get ahead",pictophonetic,foot
踘,ball,pictophonetic,foot
踝,ankle,pictophonetic,foot
踞,"to crouch, to squat; to occupy",ideographic,To sit 居 on one's feet 足; 居 also provides the pronunciation
踟,"hesitant, undecided; embarrassed",pictophonetic,foot
踢,to kick,pictophonetic,foot
踣,"stiff, corpse-like; rigor mortis",pictophonetic,foot
踥,to take small steps,pictophonetic,foot
踪,"footprints, traces, tracks",pictophonetic,foot
踮,to tip-toe,pictophonetic,foot
逾,"to jump over; to exceed, to surpass",pictophonetic,walk
踱,"to pace, to stroll, to walk slowly",pictophonetic,foot
踵,"heel; to follow; to visit, to call on",pictophonetic,foot
踶,paw,pictophonetic,foot
踹,"to trample, to tread on; to kick; to crush",pictophonetic,foot
踺,to somersault,pictophonetic,foot
踽,to walk alone; self-reliant; hunch-backed,pictophonetic,foot
蹀,"to skip, to dance; to put a foot down",pictophonetic,foot
蹁,to limp,pictophonetic,foot
蹂,"to trample, to tread on",pictophonetic,foot
蹄,hoof; pig's trotter,pictophonetic,foot
蹇,"lame, crippled; nag, donkey; slow, difficult",pictophonetic,foot
蹈,"to dance, to stamp the feet",pictophonetic,foot
蹉,"slip, mistake, error",ideographic,A footstep 足 in error 差; 差 also provides the pronunciation
蹊,"trail, footpath",pictophonetic,foot
蹋,"to step on, to tread on",pictophonetic,foot
跄,"to stagger, to stumble",pictophonetic,foot
跸,to clear the way; to make way for the emperor,pictophonetic,foot
蹙,"to frown, to knit the brows; distressed",pictophonetic,grieving
蹚,"to trample, to wade; muddy, wet",pictophonetic,foot
蹡,to limp; to lurch,pictophonetic,foot
蹒,"to stagger, to limp",pictophonetic,foot
蹦,"to jump, to bounce on; bright",pictophonetic,foot
蹧,to spoil; to ruin,pictophonetic,foot
蹩,to limp,ideographic,A broken 敝 foot 足; 敝 also provides the pronunciation
蹬,to step on; to wear; to face bad luck,pictophonetic,foot
蹭,"to shuffle; to procrastinate, to freeload, to dilly-dally",pictophonetic,foot
蹯,paw,pictophonetic,foot
蹲,"to squat, to crouch",pictophonetic,foot
蹴,to leap; to kick; solemn,ideographic,To approach 就 in one leap 足; 足 also provides the pronunciation
蹶,"to stumble, to fall; to trample",pictophonetic,foot
跷,to stand on tiptoe; stilts,pictophonetic,foot
蹼,webbed feet,pictophonetic,foot
躁,"tense, irritable; rash, hot-tempered",pictophonetic,foot
跶,"to stumble, to slip",pictophonetic,foot
躅,"to walk carefully; to hesitate, to falter",pictophonetic,foot
躇,"to hesitate, to falter; undecided",pictophonetic,foot
趸,to buy or sell wholesale,ideographic,A ten-thousand 万 square-foot 足 warehouse
踌,"to falter, to hesitate; smug, self-satisfied",pictophonetic,foot
跻,"to ascend, to rise",pictophonetic,foot
跃,"to skip, to jump, to frolic",pictophonetic,foot
躐,to stride over; to step across,pictophonetic,foot
踯,"to hesitate, to waver; irresolute",pictophonetic,foot
跞,"to walk, to move",pictophonetic,foot
踬,"to stumble, to totter; to fail, to be frustrated",pictophonetic,foot
躔,"to follow, to imitate; path, rut",pictophonetic,foot
蹰,"to falter, to waver, to hesitate",pictophonetic,foot
跹,to walk about; to revolve; to dance,pictophonetic,foot
躞,to walk,pictophonetic,foot
蹑,"to tip-toe, to walk quietly",ideographic,To walk 足 quietly 聂; 聂 also provides the pronunciation
蹿,"to jump, to leap; to gush, to spurt",pictophonetic,foot
躜,to jump,pictophonetic,foot
躏,"to trample, to oppress; to overrun",pictophonetic,foot
身,"body, torso; person; pregnancy",pictographic,A pregnant woman
躬,"to bow; personally, in person; oneself",ideographic,To bow 弓 one's body 身; 弓 also provides the pronunciation
躲,"to evade, to escape; to hide, to take shelter",pictophonetic,body
躺,"to recline, to lie down",pictophonetic,body
躯,the human body,pictophonetic,body
軃,to hang down,,
车,"cart, vehicle; to move in a cart",pictographic,"Simplified form of 車, a cart with two wheels, seen from above"
轧,"to crush, to grind; mill, roller",pictophonetic,cart
轨,"track, rut, path",pictophonetic,cart
军,"army, military; soldiers, troops",ideographic,Soldiers 冖 (distorted 力) in a cart 车
轩,pavilion; carriage; balcony,pictophonetic,cart
轫,brake,pictophonetic,cart
轭,"yoke, restraint, collar",pictophonetic,cart
软,"soft, pliable, flexible; weak",pictophonetic,cart
轷,surname,pictophonetic,cart
轸,a cross board at rear of a carriage,pictophonetic,cart
轱,"wheel; to revolve, to turn",pictophonetic,wheel
轴,"axle, pivot, shaft; axis",pictophonetic,wheel
轵,the end of an axle that extends beyond the hub,pictophonetic,wheel
轺,light carriage,pictophonetic,cart
轲,axle,pictophonetic,wheel
轶,"to surpass, to overtake, to excel",pictophonetic,cart
轼,carriage crossbar,pictophonetic,cart
輂,horse-drawn carriage,pictophonetic,cart
较,to compare; relatively; more,pictophonetic,cart
